round,num_users,frac,local_ep,local_bs,bs,lr,momentum,warmup_epoch,model,ks,in_ch,dataset,nclass,nsample_pc,noniid,pruning_percent,pruning_target,dist_thresh_fc,acc_thresh,seed,algorithm,avg_final_tacc,personalized_parameters_percentage,corr_label_network_similarity
0,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,14.703125,"[0.0, 0.0, 8.84508466009603e-05, 0.0, 0.0]",-0.0020723408761425186,2022-07-24
100,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,ours,75.05187,"[0.009616255401345503, 0.013078733613663044, 0.019555845169351112, 0.010257151313106705, 0.007483800621754851]",0.0015144070947946185,2022-07-23
100,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,45.79125,"[0.0, 0.0, 8.84508466009603e-05, 0.0, 0.0]",-0.0020723408761425186,2022-07-24
200,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,51.651875,"[0.0, 0.0, 8.84508466009603e-05, 0.0, 0.0]",-0.0020723408761425186,2022-07-24
300,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,63.248125,"[0.0, 0.0, 8.84508466009603e-05, 0.0, 0.0]",-0.0020723408761425186,2022-07-24
400,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,5.75,"[0.0, 0.0, 8.84508466009603e-05, 0.0, 0.0]",-0.0020723408761425186,2022-07-24
500,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,5.75,"[0.0, 0.0, 8.84508466009603e-05, 0.0, 0.0]",-0.0020723408761425186,2022-07-24
600,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,5.75,"[0.0, 0.0, 8.84508466009603e-05, 0.0, 0.0]",-0.0020723408761425186,2022-07-24
0,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,ours,21.399376,"[0.0, 0.0, 0.0, 0.0, 0.0]",-0.01175117734575863,2022-07-24
700,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,5.75,"[0.0, 0.0, 8.84508466009603e-05, 0.0, 0.0]",-0.0020723408761425186,2022-07-24
800,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,5.75,"[0.0, 0.0, 8.84508466009603e-05, 0.0, 0.0]",-0.0020723408761425186,2022-07-24
900,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,5.75,"[0.0, 0.0, 8.84508466009603e-05, 0.0, 0.0]",-0.0020723408761425186,2022-07-24
100,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,ours,74.87187,"[0.007669949305937756, 0.00983629946514238, 0.017128090338507092, 0.008473910700555533, 0.002923776419292784]",0.004120860328277665,2022-07-24
0,5,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,59.5625,"[0.0, 0.0, 0.0, 0.0, 0.0]",-0.4389149834040907,2022-07-24
0,5,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,57.3,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.38206782089720664,2022-07-24
200,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,ours,76.7225,"[0.005203219980538904, 0.0078053787238658145, 0.027104484579156613, 0.014292012404173524, 0.00596628927953355]",0.00014773247625524022,2022-07-24
0,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,17.04375,"[0.0, 0.0, 1.600539128969759e-05, 0.0, 0.0]",0.014963957283094789,2022-07-24
100,100,0.1,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,55.094375,"[0.0, 0.0, 1.600539128969759e-05, 0.0, 0.0]",0.014963957283094789,2022-07-24
0,100,0.1,10,128,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,15.859375,"[0.0, 0.0, 4.8016173869092764e-05, 0.0, 0.0]",-0.008576119188102504,2022-07-24
0,10,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,ours,61.80625,"[0.0, 0.0, 0.0, 0.0, 0.0]",-0.07793009552612797,2022-07-24
100,100,0.1,10,128,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,55.71875,"[0.0, 0.0, 4.8016173869092764e-05, 0.0, 0.0]",-0.008576119188102504,2022-07-24
50,10,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,ours,77.33125,"[0.0033611125505745958, 0.016579953742729355, 0.006480897531025001, 0.004083108899318594, 0.001967165301682205]",0.007325299306365531,2022-07-24
100,10,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,ours,77.65,"[0.0035395735038043475, 0.005094185621880715, 0.011417251464030716, 0.005793121516715563, 0.0019460796746496346]",0.044787568641908075,2022-07-24
0,10,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,ours,64.025,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.28331359758068136,2022-07-24
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,63.65625,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,63.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,62.5,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
2,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,50.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
4,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,50.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
6,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,50.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
8,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,34.96875,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,51.40625,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
2,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,37.5,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,59.96875,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
2,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,41.65625,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
4,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,53.8125,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
6,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,37.5,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,53.28125,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
2,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,50.1875,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
4,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,37.4375,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
6,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,37.75,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
8,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,47.9375,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
10,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,45.46875,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
